CharityIPCName,UEN,CharityStatus,IPCStatus,IPCValidFrom,IPCValidTill,PrimarySector,Classification,Activities,SectorAdmin,CharitySetup,RegistrationDate
Singapore Thian Lam Toa Anti-Opium Clinic,S39SS0008D,Deregistered,,,,Others,General Charitable Purposes,,"Ministry of Culture, Community and Youth",,25/6/1986
SINGAPORE TEOCHEW FOUNDATION LIMITED,201027503Z,Registered,,,,Social and Welfare,Community,"Financial assistance, bursaries & scholarships|Supports other Charities",Ministry of Social and Family Development,Company Limited by Guarantee,25/3/2011
Singapore Tennis Association,S62SS0049E,Registered with IPC,Live,22/4/2025,21/4/2028,Sports,NSAs,Training & education,Sport Singapore,Society,31/12/2010
SINGAPORE TECHNOLOGIES ENDOWMENT PROGRAMME LIMITED,199703832N,Deregistered,Not Applicable,,,Others,Children/Youth,,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,02/5/1998
SINGAPORE TAXI ACADEMY,200306728C,Registered,,,,Others,General Charitable Purposes,"Direct Services|Research|Financial assistance, bursaries & scholarships|Supports other Charities|Training & education|Public awareness, promotion & advisory","Ministry of Culture, Community and Youth",Company Limited by Guarantee,30/7/2003
Singapore Tao Yuan also named The World Red Swastika Society (Singapore Administration Centre),S62SS0005A,Registered,,,,Religious,Others; To expound the Great Tao (Eternal Truth),"Financial assistance, bursaries & scholarships|Supports other Charities","Ministry of Culture, Community and Youth",Society,01/7/1985
Singapore Tamil Youths' Club,S57SS0016B,Registered,,,,Others,Children/Youth,,"Ministry of Culture, Community and Youth",Society,11/1/2005
Singapore Taekwondo Federation,S74SS0031A,Registered with IPC,Live,17/12/2025,15/11/2028,Sports,NSAs,Direct Services|Training & education,Sport Singapore,Society,12/1/2011
Singapore Table Tennis Association,S65SS0005E,Registered with IPC,Live,20/2/2024,19/2/2027,Sports,NSAs,Training & education,Sport Singapore,Society,01/1/2011
SINGAPORE SYMPHONIA COMPANY LIMITED,197801125M,Registered with IPC,Live,02/4/2024,01/4/2026,Arts and Heritage,Music & Orchestras,"Training & education|Public awareness, promotion & advisory","Ministry of Culture, Community and Youth",Company Limited by Guarantee,01/1/1983
SINGAPORE SQUASH RACKETS ASSOCIATION,S70SS0024H,Registered with IPC,Live,20/3/2025,19/3/2028,Sports,NSAs,"Public awareness, promotion & advisory|Training & education",Sport Singapore,Society,21/2/2011
SINGAPORE SPORTS SCHOOL LTD.,200210728W,Registered,,,,Sports,Non-NSAs,Training & education,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,02/5/2003
Singapore Sport Climbing and Mountaineering Federation,S93SS0038G,Registered,,,,Sports,NSAs,Direct Services|Training & education|Research,Sport Singapore,Society,31/12/2010
SINGAPORE SOCIETY OF ONCOLOGY RESEARCH TRUST FUND,S81SS0058D,Deregistered,,,,Health,,,Ministry of Health,,20/10/1984
Singapore Ski & Snowboard Association,T12SS0048J,Registered,,,,Sports,NSAs,"Public awareness, promotion & advisory|Training & education",Sport Singapore,Society,07/3/2017
Singapore Sinhala Buddhist Association,S62SS0025L,Registered,,,,Religious,Buddhism,,"Ministry of Culture, Community and Youth",Society,30/10/1984
Singapore Silat Federation,S76SS0039A,Registered,Expired,11/2/2022,10/2/2024,Sports,NSAs,"Direct Services|Public awareness, promotion & advisory|Training & education",Sport Singapore,Society,01/4/2011
SINGAPORE SIKH EDUCATION FOUNDATION,S90SS0119B,Registered,,,,Education,Foundations & Trusts,Training & education,Ministry of Education,Society,18/3/1992
"Singapore Shooting Association, The",S65SS0039D,Registered with IPC,Live,22/2/2024,15/11/2026,Sports,NSAs,,Sport Singapore,Society,03/5/2011
SINGAPORE SEPAKTAKRAW FEDERATION (PERSES),S60SS0012H,Registered,Expired,25/3/2022,24/3/2025,Sports,NSAs,Training & education,Sport Singapore,Society,11/11/2011
SINGAPORE SENIOR CITIZEN CALLIGRAPHY UNIVERSITY CENTRE LIMITED,200719102E,Registered,,,,Arts and Heritage,Others; -,Training & education,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,07/1/2008
"SINGAPORE SCOUT ASSOCIATION, THE",S85CC0196D,Registered with IPC,Live,01/9/2025,31/8/2028,Education,Uniformed Groups,Training & education,Ministry of Education,Others,29/6/1985
Singapore Sailing Federation,S66SS0013A,Registered with IPC,Live,25/5/2025,24/5/2028,Sports,NSAs,Training & education,Sport Singapore,Society,31/8/2009
SINGAPORE RUGBY UNION,S66SS0003G,Registered with IPC,Live,06/7/2025,05/7/2028,Sports,NSAs,Training & education,Sport Singapore,Society,30/11/2010
SINGAPORE ROWING ASSOCIATION,S83SS0011L,Registered,,,,Sports,NSAs,,Sport Singapore,Society,19/1/2011
Singapore Rollersports Federation,S99SS0058C,Registered,,,,Sports,NSAs,"Direct Services|Public awareness, promotion & advisory",Sport Singapore,Society,21/2/2013
SINGAPORE ROAD SAFETY COUNCIL,T09SS0253D,Registered with IPC,Live,21/7/2025,20/7/2028,Others,General Charitable Purposes,"Public awareness, promotion & advisory","Ministry of Culture, Community and Youth",Society,21/1/2010
SINGAPORE REPERTORY THEATRE LTD.,199301614N,Registered with IPC,Live,01/10/2025,31/3/2028,Arts and Heritage,Theatre & Dramatic Arts,Direct Services,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,03/10/2001
"Singapore Regional Centre of the World Fellowship of Buddhists, The",S61SS0116K,Deregistered,,,,Religious,Buddhism,,"Ministry of Culture, Community and Youth",Society,03/3/1989
SINGAPORE RED CROSS SOCIETY,S86CC0370E,Registered with IPC,Live,01/11/2025,31/10/2028,Others,General Charitable Purposes,Direct Services,"Ministry of Culture, Community and Youth",Others,03/9/1986
SINGAPORE RADIOLOGICAL SOCIETY TRUST FUND,S98CC1315C,Registered,,,,Health,Trust/Research Funds,Grantmaking,Ministry of Health,Others,26/6/1998
Singapore Praise Centre,S82SS0021L,Deregistered,,,,Religious,Environment,,"Ministry of Culture, Community and Youth",Society,19/12/1992
SINGAPORE POLYTECHNIC ENDOWMENT FUND,T08CC3015L,Exempt Charity with IPC,Live,01/4/2021,31/3/2026,Education,Local Educational Institutions/Funds,Training & education,Ministry of Education,Others,
SINGAPORE POLYTECHNIC,T08GB0056A,Exempt Charity,,,,Education,Local Educational Institutions/Funds,Training & education,Ministry of Education,Others,
SINGAPORE POCKET OPERA THEATRE LIMITED,201707311K,Deregistered,,,,Arts and Heritage,Music & Orchestras|Theatre & Dramatic Arts,"Public awareness, promotion & advisory|Training & education","Ministry of Culture, Community and Youth",Company Limited by Guarantee,18/5/2018
Singapore Planned Families Association,S63SS0018K,Deregistered,Not Applicable,,,Social and Welfare,Community|Disability (Children)|Eldercare|Family,"Public awareness, promotion & advisory|Training & education",Ministry of Social and Family Development,Society,06/10/1983
SINGAPORE PHYSIOTHERAPHY ASSOCIATION RESEARCH AND EDUCATION TRUST FUND,T04CC1827L,Deregistered,,,,Health,,,Ministry of Health,Others,13/10/2004
SINGAPORE PAEDIATRIC SOCIETY,S61SS0129C,Registered,,,,Health,Health Professional Group,"Research|Training & education|Public awareness, promotion & advisory",Ministry of Health,Society,15/12/1986
SINGAPORE OLYMPIC FOUNDATION,201003786C,Registered with IPC,Live,12/3/2025,11/3/2028,Sports,Non-NSAs,"Financial assistance, bursaries & scholarships|Public awareness, promotion & advisory",Sport Singapore,Company Limited by Guarantee,12/3/2010
Singapore Nurses' Christian Fellowship,S60SS0018F,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Society,02/10/1986
SINGAPORE NING YEUNG MUTUAL BENEFIT ASSN HOME FOR THE AGED,,Deregistered,,,,Social and Welfare,,,Ministry of Social and Family Development,,21/1/1985
Singapore National Stroke Association,S96SS0196G,Registered with IPC,Live,20/11/2024,19/11/2027,Health,Diseases/Illnesses Support Group,"Public awareness, promotion & advisory|Training & education",Ministry of Health,Society,23/11/1998
SINGAPORE NATIONAL PARALYMPIC COUNCIL LTD.,200812207D,Registered with IPC,Live,23/7/2024,15/8/2027,Sports,Disability Sports,"Direct Services|Training & education|Public awareness, promotion & advisory",Sport Singapore,Company Limited by Guarantee,11/6/2009
Singapore National Academy Of Science,S76SS0028L,Registered,Not Applicable,,30/11/2008,Others,Think Tanks,"Research|Public awareness, promotion & advisory","Ministry of Culture, Community and Youth",Society,30/5/1986
SINGAPORE MODERN PENTATHLON ASSOCIATION,T09SS0030B,Registered,Not Applicable,,,Sports,NSAs,,Sport Singapore,Society,10/12/2010
SINGAPORE MILLENNIUM FOUNDATION LIMITED,200102355R,Deregistered,Not Applicable,,,Others,Think Tanks,,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,18/6/2001
SINGAPORE MILLENNIAL TRUST,S99CC1373B,Registered,Not Applicable,,01/1/2005,Others,General Charitable Purposes,,"Ministry of Culture, Community and Youth",Others,28/6/1999
SINGAPORE MEE TOH CHARITABLE TRUST,T00CC1483G,Deregistered,,,,Religious,Buddhism,,"Ministry of Culture, Community and Youth",Others,29/12/2000
SINGAPORE MARITIME FOUNDATION,200400944W,Registered,Not Applicable,,17/5/2007,Others,Think Tanks,"Public awareness, promotion & advisory","Ministry of Culture, Community and Youth",Company Limited by Guarantee,01/2/2005
SINGAPORE MANUFACTURING FEDERATION EDUCATION AND TRAINING FUND,S85CC0228G,Deregistered,Not Applicable,,31/12/2006,Others,General Charitable Purposes,Training & education,"Ministry of Culture, Community and Youth",Others,03/9/1985
SINGAPORE MANAGEMENT UNIVERSITY,200000267Z,Registered with IPC,Live,01/1/2025,31/12/2029,Education,Local Educational Institutions/Funds,Training & education,Ministry of Education,Company Limited by Guarantee,12/12/2000
"SINGAPORE LSE TRUST, THE",T03CC1733C,Registered with IPC,Live,01/4/2023,31/3/2026,Education,Foundations & Trusts,"Financial assistance, bursaries & scholarships",Ministry of Education,Others,21/10/2003
"Singapore Life Saving Society, The",S67SS0031B,Registered,Not Applicable,16/9/2021,15/9/2022,Sports,NSAs,"Public awareness, promotion & advisory",Sport Singapore,Society,07/9/1983
Singapore Life Church,S61SS0180C,Registered,,,,Religious,Christianity,Direct Services|Training & education,"Ministry of Culture, Community and Youth",Society,26/10/1984
Singapore Leprosy Relief Association,S61SS0121B,Registered,Not Applicable,01/6/2022,30/11/2022,Health,Others; -,Direct Services,Ministry of Health,Society,24/9/1985
SINGAPORE KOREAN INTERNATIONAL SCHOOL LTD.,199301198G,Registered,,,,Education,Foreign Educational Institutions/Funds,Training & education,Ministry of Education,Company Limited by Guarantee,06/3/1995
Singapore Kindness Movement,S97SS0063G,Registered with IPC,Live,01/7/2025,30/6/2027,Others,General Charitable Purposes,"Public awareness, promotion & advisory","Ministry of Culture, Community and Youth",Society,31/8/2002
SINGAPORE KHOONG CHOONG RELIGIOUS SOCIETY,S70SS0019E,Deregistered,,,,Religious,Taoism,,"Ministry of Culture, Community and Youth",Society,17/6/1986
SINGAPORE KARATE-DO FEDERATION,S71SS0055B,Registered,,,,Sports,NSAs,"Public awareness, promotion & advisory",Sport Singapore,Society,14/8/2012
SINGAPORE JUDO FEDERATION,S65SS0037A,Registered with IPC,Live,01/5/2024,30/6/2027,Sports,NSAs,"Public awareness, promotion & advisory|Training & education",Sport Singapore,Society,12/1/2011
SINGAPORE JEWISH CHARITIES TRUST FUND,S86CC0396B,Registered,,,,Religious,Others; Judaism,"Financial assistance, bursaries & scholarships","Ministry of Culture, Community and Youth",Others,26/11/1986
"Singapore Japanese Christian Fellowship, The",S81SS0006J,Registered,,,,Religious,Christianity,Direct Services,"Ministry of Culture, Community and Youth",Society,12/7/1986
Singapore Jain Religious Society,S72SS0036D,Registered,,,,Religious,Others; Jainism,Direct Services|Supports other Charities|Training & education,"Ministry of Culture, Community and Youth",Society,31/5/1993
SINGAPORE INTERNATIONAL FOUNDATION,199103796W,Registered with IPC,Live,01/12/2025,30/11/2028,Others,General Charitable Purposes,,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,28/11/2008
SINGAPORE INTERNATIONAL FILM FESTIVAL LTD,199404067R,Registered with IPC,Live,04/4/2025,03/4/2026,Arts and Heritage,Others; Visual Arts|Visual Arts,"Grantmaking|Training & education|Public awareness, promotion & advisory","Ministry of Culture, Community and Youth",Company Limited by Guarantee,01/7/1997
SINGAPORE INSTITUTE OF TECHNOLOGY,200917667D,Registered with IPC,Live,01/2/2024,31/1/2029,Education,Local Educational Institutions/Funds,Training & education,Ministry of Education,Company Limited by Guarantee,16/9/2009
Singapore Institute of Management Society,S64SS0050A,Deregistered,,,,Education,Local Educational Institutions/Funds,Training & education,Ministry of Education,Society,15/5/1985
SINGAPORE INSTITUTE OF MANAGEMENT GROUP LIMITED,201933324M,Registered,,,,Education,Local Educational Institutions/Funds,"Financial assistance, bursaries & scholarships|Training & education",Ministry of Education,Company Limited by Guarantee,16/12/2019
SINGAPORE INSTITUTE OF INTERNATIONAL AFFAIRS ENDOWMENT FUND,T03CC1685G,Registered with IPC,Live,01/9/2025,31/8/2028,Others,Think Tanks,"Public awareness, promotion & advisory|Research","Ministry of Culture, Community and Youth",Others,21/4/2003
SINGAPORE INSTITUTE OF INTERNATIONAL AFFAIRS,S62SS0073L,Registered,,,,Others,Think Tanks,"Public awareness, promotion & advisory|Research","Ministry of Culture, Community and Youth",Society,30/7/1990
SINGAPORE INSTITUTE OF BIOLOGY RESEARCH TRUST FUND,S89CC0685L,Registered,,,,Others,Think Tanks,Training & education|Research,"Ministry of Culture, Community and Youth",Others,27/9/1989
SINGAPORE INSEAD TRUST,T04CC1814G,Deregistered,,,,Education,,,Ministry of Education,Others,06/10/2004
"Singapore Indian Fine Arts Society, The",S62SS0048J,Registered,,,,Arts and Heritage,"Music & Orchestras|Professional, Contemporary & Ethnic Dance|Traditional Ethnic Performing Arts|Training & Education|Visual Arts","Direct Services|Public awareness, promotion & advisory|Financial assistance, bursaries & scholarships|Training & education","Ministry of Culture, Community and Youth",Society,23/2/2006
Singapore Indian Education Trust,S67SS0016E,Registered,,,,Education,Foundations & Trusts,"Financial assistance, bursaries & scholarships",Ministry of Education,Society,07/8/1986
Singapore Indian Development Association (SINDA),S90SS0098L,Registered with IPC,Live,16/2/2026,15/2/2031,Others,Self-Help Groups,"Financial assistance, bursaries & scholarships|Training & education","Ministry of Culture, Community and Youth",Society,07/10/1992
SINGAPORE INDIAN ASSOCIATION WELFARE FUND,S92CC0872A,Registered,,,,Social and Welfare,Community,"Financial assistance, bursaries & scholarships",Ministry of Social and Family Development,Others,14/2/1992
Singapore Ice Skating Association,S98SS0168E,Registered with IPC,Live,01/1/2024,31/12/2026,Sports,NSAs,"Direct Services|Public awareness, promotion & advisory|Training & education",Sport Singapore,Society,31/12/2010
SINGAPORE ICE HOCKEY ASSOCIATION,T02SS0138C,Registered,Not Applicable,14/9/2020,30/9/2021,Sports,NSAs,Direct Services,Sport Singapore,Society,09/1/2012
SINGAPORE HOSPICE COUNCIL,S95SS0013E,Registered with IPC,Live,01/10/2024,30/9/2027,Health,Hospice|Others; Hospice,"Public awareness, promotion & advisory|Supports other Charities|Training & education|Research",Ministry of Health,Society,03/8/1996
Singapore Hockey Federation,S92SS0120J,Registered with IPC,Live,31/3/2024,30/3/2027,Sports,NSAs,"Training & education|Public awareness, promotion & advisory",Sport Singapore,Society,10/12/2010
"Singapore Hindu Sabai, The",S54SS0008G,Registered,,,,Religious,Hinduism,,"Ministry of Culture, Community and Youth",Society,19/2/1994
SINGAPORE HERITAGE SOCIETY,S87SS0042J,Registered with IPC,Live,01/3/2025,31/8/2026,Arts and Heritage,Historical & Cultural Conservation,"Research|Training & education|Public awareness, promotion & advisory","Ministry of Culture, Community and Youth",Society,24/11/1993
Singapore Heart Foundation,S70SS0007H,Registered with IPC,Live,29/6/2025,28/6/2028,Health,Diseases/Illnesses Support Group,"Public awareness, promotion & advisory",Ministry of Health,Society,10/4/1984
SINGAPORE GYMNASTICS,T03SS0136E,Registered with IPC,Live,26/10/2025,25/10/2028,Sports,NSAs,,Sport Singapore,Society,10/12/2010
SINGAPORE GUJARATI SCHOOL LIMITED,199805072E,Registered,,,,Education,Local Educational Institutions/Funds,Training & education,Ministry of Education,Company Limited by Guarantee,25/8/1999
SINGAPORE GUJARATI HINDU ENDOWMENT TRUST,S97CC1236B,Registered,,,,Religious,Hinduism,"Financial assistance, bursaries & scholarships","Ministry of Culture, Community and Youth",Others,28/1/1997
SINGAPORE GOSPEL HALLS (HOKKIEN SPEAKING ASSEMBLY) LTD.,198702670M,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,12/1/1988
Singapore Gospel Church,S81SS0002C,Registered,,,,Religious,Christianity,"Public awareness, promotion & advisory","Ministry of Culture, Community and Youth",Society,18/12/1985
Singapore Golf Association,S61SS0189L,Registered with IPC,Live,13/4/2024,15/6/2027,Sports,NSAs,Direct Services|Training & education,Sport Singapore,Society,12/1/2011
Singapore Floorball Association,S96SS0027K,Registered with IPC,Live,01/1/2024,31/12/2026,Sports,NSAs,"Public awareness, promotion & advisory|Training & education",Sport Singapore,Society,17/4/2017
SINGAPORE EYE RESEARCH INSTITUTE,199704888Z,Registered,,,,Health,Others; -,Training & education|Research,Ministry of Health,Company Limited by Guarantee,27/11/2002
Singapore Eye Foundation,S83SS0015F,Deregistered,Not Applicable,,30/4/2010,Health,Diseases/Illnesses Support Group,Direct Services|Research|Training & education,Ministry of Health,Society,17/4/1986
SINGAPORE EVERY HOME CRUSADE COMPANY LTD.,197201630C,Registered,,,,Religious,Christianity,Direct Services,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,26/5/1986
Singapore Esports Association,T18SS0147A,Registered,,,,Others,General Charitable Purposes,"Public awareness, promotion & advisory|Training & education",Sport Singapore,Society,17/9/2019
SINGAPORE EPILEPSY FOUNDATION,199409591D,Registered,Not Applicable,,31/12/2009,Health,Diseases/Illnesses Support Group,"Public awareness, promotion & advisory|Training & education",Ministry of Health,Company Limited by Guarantee,18/7/1996
SINGAPORE ENVIRONMENT COUNCIL,199507762R,Registered with IPC,Live,01/9/2025,31/8/2027,Others,Environment,"Public awareness, promotion & advisory|Training & education","Ministry of Culture, Community and Youth",Company Limited by Guarantee,05/3/1996
SINGAPORE DRAMA EDUCATORS ASSOCIATION,T02SS0123G,Registered with IPC,Live,29/11/2024,28/11/2026,Arts and Heritage,"Others; Theatre & Dramatic Arts, Training & Education|Theatre & Dramatic Arts|Training & Education","Direct Services|Public awareness, promotion & advisory|Financial assistance, bursaries & scholarships|Training & education|Research","Ministry of Culture, Community and Youth",Society,20/2/2020
Singapore Dragon Boat Association,S87SS0101F,Registered with IPC,Live,01/1/2024,31/12/2026,Sports,NSAs,,Sport Singapore,Society,31/12/2010
Singapore Disability Sports Council,S73SS0035B,Registered with IPC,Live,27/12/2023,26/12/2026,Sports,Disability Sports|NSAs,Training & education,Sport Singapore,Society,28/11/1984
SINGAPORE DETAINEES AFTERCARE SOCIETY (SDAS),,Deregistered,Not Applicable,,,Community,,,People's Association,Society,28/11/1983
Singapore Dental Health Foundation,S84SS0038J,Registered,Not Applicable,,29/11/2009,Health,Others; -,"Public awareness, promotion & advisory",Ministry of Health,Society,31/3/1986
Singapore DanceSport Federation,S87SS0059H,Registered,,,,Sports,NSAs,,Sport Singapore,Society,31/12/2010
SINGAPORE CYCLING FEDERATION,S58SS0009A,Registered with IPC,Live,01/12/2025,30/11/2028,Sports,NSAs,"Public awareness, promotion & advisory",Sport Singapore,Society,01/4/2011
"Singapore Cricket Association, The",S65SS0010H,Registered,,,,Sports,NSAs,Training & education,Sport Singapore,Society,01/2/2011
Singapore Council of Women's Organisations,S80SS0026C,Registered with IPC,Live,03/5/2025,02/4/2027,Social and Welfare,Family,"Direct Services|Research|Public awareness, promotion & advisory",Ministry of Social and Family Development,Society,15/3/2021
Singapore Council of Christian Churches,S61SS0153J,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Society,28/6/1990
Singapore Coronary Club,S80SS0045F,Deregistered,,,,Health,Diseases/Illnesses Support Group,,Ministry of Health,Society,23/8/1986
"SINGAPORE CONTRACT BRIDGE ASSOCIATION, THE",S62SS0079J,Registered with IPC,Live,29/1/2024,28/1/2027,Sports,NSAs,"Training & education|Public awareness, promotion & advisory",Sport Singapore,Society,31/12/2010
Singapore Confucius - Mencius Morality Society,S85SS0004D,Registered,,,,Religious,Others; Confucius Mencius Morality,Training & education,"Ministry of Culture, Community and Youth",Society,23/4/1997
SINGAPORE COLLEGE OF INSURANCE LIMITED,199408491M,Registered,Not Applicable,,,Others,General Charitable Purposes,Training & education,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,27/4/1995
SINGAPORE CLAN FOUNDATION,198601162H,Registered with IPC,Live,04/6/2025,03/6/2028,Arts and Heritage,Historical & Cultural Conservation|Training & Education,"Research|Financial assistance, bursaries & scholarships|Training & education|Public awareness, promotion & advisory","Ministry of Culture, Community and Youth",Company Limited by Guarantee,22/7/1986
SINGAPORE CHUNG HWA MEDICAL INSTITUTION,S84CC0117K,Deregistered,Not Applicable,,30/6/2011,Health,TCM Clinic,,Ministry of Health,Others,27/11/1984
SINGAPORE CHUNG HWA MEDICAL INSTITUTION,201109599Z,Registered with IPC,Live,23/11/2025,22/11/2028,Health,TCM Clinic,,Ministry of Health,Company Limited by Guarantee,11/5/2011
SINGAPORE CHRISTIAN PRAYER HOUSE LTD,197800908Z,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,17/6/1986
SINGAPORE CHRISTIAN HOME,S77SS0040C,Registered with IPC,Live,22/1/2026,21/1/2030,Health,Nursing Home,Direct Services,Ministry of Health,Society,13/3/1986
SINGAPORE CHRISTIAN FOUNDATION LTD.,200809850N,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,05/12/2008
SINGAPORE CHRISTIAN FELLOWSHIP LTD.,197903198K,Registered,,,,Religious,Christianity,Supports other Charities|Training & education,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,27/9/1984
"Singapore Christian Evangelistic League, The",S61SS0185E,Registered,,,,Religious,Christianity,"Financial assistance, bursaries & scholarships|Supports other Charities|Training & education","Ministry of Culture, Community and Youth",Society,24/9/1988
Singapore Christian Canaan Church,S76SS0014L,Registered,,,,Religious,Christianity,Training & education,"Ministry of Culture, Community and Youth",Society,21/1/1985
Singapore Christadelphian Ecclesia,S84SS0012A,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Society,26/8/1992
Singapore Chin-Kon Religious Society,S54SS0017E,Registered,,,,Religious,Others; -,Direct Services,"Ministry of Culture, Community and Youth",Society,26/12/1986
SINGAPORE CHINESE ORCHESTRA COMPANY LIMITED,199603271D,Registered with IPC,Live,02/4/2024,01/4/2027,Arts and Heritage,Music & Orchestras,,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,09/7/1996
SINGAPORE CHINESE MUSIC FEDERATION,T14SS0001E,Registered,,,,Arts and Heritage,Music & Orchestras,,"Ministry of Culture, Community and Youth",Society,28/1/2015
SINGAPORE CHINESE GIRLS' SCHOOL,T07GS7014E,Exempt Charity,,,,Education,Independent Schools,,Ministry of Education,Others,
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,T07GS5026J,Exempt Charity,,,,Education,Government-Aided Schools,,Ministry of Education,Others,
SINGAPORE CHINESE DANCE THEATRE,201419196W,Registered with IPC,Live,17/2/2025,16/2/2028,Arts and Heritage,"Historical & Cultural Conservation|Professional, Contemporary & Ethnic Dance|Theatre & Dramatic Arts|Traditional Ethnic Performing Arts|Training & Education","Training & education|Public awareness, promotion & advisory","Ministry of Culture, Community and Youth",Company Limited by Guarantee,14/4/2015
SINGAPORE CHINESE CULTURAL CENTRE,201309577Z,Registered with IPC,Live,01/2/2026,31/1/2029,Arts and Heritage,"Historical & Cultural Conservation|Literary Arts|Music & Orchestras|Professional, Contemporary & Ethnic Dance|Theatre & Dramatic Arts|Traditional Ethnic Performing Arts|Visual Arts","Direct Services|Public awareness, promotion & advisory","Ministry of Culture, Community and Youth",Company Limited by Guarantee,20/1/2014
SINGAPORE CHINESE CHAMBER OF COMMERCE FOUNDATION,196600028C,Registered with IPC,Live,02/1/2026,01/1/2029,Others,General Charitable Purposes,"Public awareness, promotion & advisory|Financial assistance, bursaries & scholarships|Supports other Charities|Training & education|Research","Ministry of Culture, Community and Youth",Company Limited by Guarantee,07/8/1984
"Singapore Chinese Buddhist Association, The",S61SS0035L,Registered,,,,Religious,Buddhism,Direct Services|Supports other Charities|Training & education,"Ministry of Culture, Community and Youth",Society,30/12/1998
SINGAPORE CHIN WOO(MBS) OLD PEOPLE'S HOME,,Deregistered,,,,Social and Welfare,,,Ministry of Social and Family Development,,17/6/1986
"Singapore Chin Leng Keng, The",S76SS0053B,Registered,,,,Religious,Taoism,Direct Services,"Ministry of Culture, Community and Youth",Society,13/4/1994
Singapore Children's Society,S62SS0057G,Registered with IPC,Live,01/7/2025,30/6/2029,Social and Welfare,Family,"Direct Services|Research|Financial assistance, bursaries & scholarships|Public awareness, promotion & advisory",Ministry of Social and Family Development,Society,07/1/1984
SINGAPORE CHESS FEDERATION (PERSEKUTUAN CHATUR SINGAPURA),S61SS0094A,Registered with IPC,Live,21/8/2025,23/6/2028,Sports,NSAs,Training & education,Sport Singapore,Society,09/1/2012
Singapore Chee Hoon Kog Moral Promotion Society,S82SS0013J,Registered,,,,Religious,Others; De Jiao,"Direct Services|Financial assistance, bursaries & scholarships","Ministry of Culture, Community and Youth",Society,23/5/1991
Singapore Che Wein Khor Moral Uplifting Society,S80SS0009C,Registered,,,,Religious,Buddhism,Supports other Charities,"Ministry of Culture, Community and Youth",Society,30/9/1986
Singapore Charismatic Church,S84SS0006B,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Society,27/2/1986
Singapore Centre for Global Missions,S80SS0007L,Registered,,,,Religious,Christianity,Research|Training & education,"Ministry of Culture, Community and Youth",Society,07/12/1983
"Singapore Cardiac Society, The",S73SS0041A,Registered,,,,Health,Health Professional Group,Training & education,Ministry of Health,Society,08/4/1994
SINGAPORE CANOE FEDERATION,S71SS0035C,Registered with IPC,Live,01/4/2024,15/5/2027,Sports,NSAs,"Public awareness, promotion & advisory|Training & education",Sport Singapore,Society,12/1/2011
Singapore Cancer Society,S65SS0033F,Registered with IPC,Live,31/3/2025,30/3/2028,Health,"Hospice|Others; Diseases/Illnessess Support Group,Hospice,Nursing Home","Direct Services|Research|Financial assistance, bursaries & scholarships|Grantmaking|Training & education|Public awareness, promotion & advisory",Ministry of Health,Society,08/5/1984
SINGAPORE BUSINESS FEDERATION FOUNDATION LIMITED,201316694R,Registered with IPC,Live,16/7/2024,31/8/2027,Others,General Charitable Purposes,"Grantmaking|Financial assistance, bursaries & scholarships|Supports other Charities","Ministry of Culture, Community and Youth",Company Limited by Guarantee,15/7/2013
Singapore Buddhist Youth Mission,S65SS0049J,Registered,,,,Religious,Buddhism,"Financial assistance, bursaries & scholarships|Supports other Charities","Ministry of Culture, Community and Youth",Society,17/7/1985
Singapore Buddhist Welfare Services,S81SS0060H,Registered with IPC,Live,01/2/2024,30/11/2026,Social and Welfare,Community,"Direct Services|Financial assistance, bursaries & scholarships|Training & education",Ministry of Social and Family Development,Society,09/5/1991
Singapore Buddhist Mission,S81SS0092D,Registered,,,,Religious,Buddhism,Direct Services,"Ministry of Culture, Community and Youth",Society,31/8/1989
"Singapore Buddhist Meditation Centre, The",S80SS0013K,Registered,,,,Religious,Buddhism,Direct Services|Supports other Charities|Training & education,"Ministry of Culture, Community and Youth",Society,29/11/1985
"Singapore Buddhist Lodge, The",S61SS0026B,Registered,,,,Religious,Buddhism,"Financial assistance, bursaries & scholarships","Ministry of Culture, Community and Youth",Society,14/8/1985
